athlete	team	medal	year	sport
athlete_053727	United States	NA	2007	sport_7
athlete_053728	Japan	NA	2008	sport_8
athlete_053729	Italy	Gold	2009	sport_9
athlete_053730	Japan	NA	2010	sport_10
athlete_053731	Japan	Bronze	2011	sport_11
athlete_053732	United States	NA	2012	sport_12
athlete_053733	France	NA	2013	sport_13
athlete_053734	United States	Silver	2014	sport_14
athlete_053735	United States	NA	2015	sport_15
athlete_053736	United States	NA	2016	sport_16
athlete_053737	United States	NA	2017	sport_17
athlete_053738	Soviet Union	NA	2018	sport_18
athlete_053739	Japan	Gold	2019	sport_19
athlete_053740	Soviet Union	NA	2000	sport_20
athlete_053741	Germany	NA	2001	sport_21
athlete_053742	Kenya	Gold	2002	sport_22
athlete_053743	United States	NA	2003	sport_23
athlete_053744	Italy	NA	2004	sport_24
athlete_053745	Germany	NA	2005	sport_25
athlete_053746	Soviet Union	NA	2006	sport_26
athlete_053747	United States	Bronze	2007	sport_27
athlete_053748	Japan	NA	2008	sport_28
athlete_053749	Italy	NA	2009	sport_29
athlete_053750	Japan	Gold	2010	sport_30
athlete_053751	Soviet Union	NA	2011	sport_31
athlete_053752	United States	NA	2012	sport_32
athlete_053753	Japan	NA	2013	sport_33
athlete_053754	Germany	Silver	2014	sport_34
athlete_053755	United States	NA	2015	sport_35
athlete_053756	Germany	NA	2016	sport_36
athlete_053757	Kenya	Bronze	2017	sport_37
athlete_053758	United States	Bronze	2018	sport_38
athlete_053759	United States	Silver	2019	sport_39
athlete_053760	France	NA	2000	sport_0
athlete_053761	Italy	NA	2001	sport_1
athlete_053762	Japan	NA	2002	sport_2
athlete_053763	Kenya	Silver	2003	sport_3
athlete_053764	France	Gold	2004	sport_4
athlete_053765	France	Silver	2005	sport_5
athlete_053766	Japan	Gold	2006	sport_6
athlete_053767	Soviet Union	Gold	2007	sport_7
athlete_053768	United States	NA	2008	sport_8
athlete_053769	United States	NA	2009	sport_9
athlete_053770	United States	NA	2010	sport_10
athlete_053771	Japan	Gold	2011	sport_11
athlete_053772	Soviet Union	NA	2012	sport_12
athlete_053773	Italy	NA	2013	sport_13
athlete_053774	Italy	Gold	2014	sport_14
athlete_053775	Kenya	Gold	2015	sport_15
athlete_053776	United States	Gold	2016	sport_16
athlete_053777	Soviet Union	NA	2017	sport_17
athlete_053778	Soviet Union	NA	2018	sport_18
athlete_053779	Kenya	NA	2019	sport_19
athlete_053780	United States	NA	2000	sport_20
athlete_053781	France	NA	2001	sport_21
athlete_053782	France	NA	2002	sport_22
athlete_053783	Italy	Silver	2003	sport_23
athlete_053784	United States	Silver	2004	sport_24
athlete_053785	United States	NA	2005	sport_25
athlete_053786	Soviet Union	NA	2006	sport_26
athlete_053787	United States	Silver	2007	sport_27
athlete_053788	Japan	Silver	2008	sport_28
athlete_053789	Italy	Silver	2009	sport_29
athlete_053790	United States	Gold	2010	sport_30
athlete_053791	Italy	Bronze	2011	sport_31
athlete_053792	Germany	NA	2012	sport_32
athlete_053793	Japan	Bronze	2013	sport_33
athlete_053794	France	Bronze	2014	sport_34
athlete_053795	Kenya	Bronze	2015	sport_35
athlete_053796	Italy	Bronze	2016	sport_36
athlete_053797	France	Bronze	2017	sport_37
athlete_053798	Italy	NA	2018	sport_38
athlete_053799	United States	NA	2019	sport_39
athlete_053800	United States	Bronze	2000	sport_0
athlete_053801	France	NA	2001	sport_1
athlete_053802	Italy	Bronze	2002	sport_2
athlete_053803	Japan	Gold	2003	sport_3
athlete_053804	Japan	NA	2004	sport_4
athlete_053805	United States	Gold	2005	sport_5
athlete_053806	Italy	NA	2006	sport_6
athlete_053807	United States	Gold	2007	sport_7
athlete_053808	United States	NA	2008	sport_8
athlete_053809	United States	NA	2009	sport_9
athlete_053810	Germany	NA	2010	sport_10
athlete_053811	United States	NA	2011	sport_11
athlete_053812	Kenya	Bronze	2012	sport_12
athlete_053813	Japan	Bronze	2013	sport_13
athlete_053814	Japan	NA	2014	sport_14
athlete_053815	United States	NA	2015	sport_15
athlete_053816	France	NA	2016	sport_16
athlete_053817	Germany	Bronze	2017	sport_17
athlete_053818	Germany	NA	2018	sport_18
athlete_053819	Germany	Gold	2019	sport_19
athlete_053820	United States	NA	2000	sport_20
athlete_053821	Kenya	Silver	2001	sport_21
athlete_053822	Kenya	NA	2002	sport_22
athlete_053823	United States	Bronze	2003	sport_23
athlete_053824	United States	Gold	2004	sport_24
athlete_053825	Japan	NA	2005	sport_25
athlete_053826	Soviet Union	NA	2006	sport_26
athlete_053827	Japan	NA	2007	sport_27
athlete_053828	United States	Bronze	2008	sport_28
athlete_053829	Germany	NA	2009	sport_29
athlete_053830	Germany	NA	2010	sport_30
athlete_053831	France	NA	2011	sport_31
athlete_053832	United States	Gold	2012	sport_32
athlete_053833	Germany	Bronze	2013	sport_33
athlete_053834	Soviet Union	Gold	2014	sport_34
athlete_053835	United States	Bronze	2015	sport_35
athlete_053836	United States	Bronze	2016	sport_36
athlete_053837	United States	NA	2017	sport_37
athlete_053838	United States	NA	2018	sport_38
athlete_053839	France	Bronze	2019	sport_39
athlete_053840	Japan	NA	2000	sport_0
athlete_053841	France	NA	2001	sport_1
athlete_053842	United States	Silver	2002	sport_2
athlete_053843	Japan	Silver	2003	sport_3
athlete_053844	Germany	NA	2004	sport_4
athlete_053845	Italy	Silver	2005	sport_5
athlete_053846	Kenya	Bronze	2006	sport_6
athlete_053847	Japan	NA	2007	sport_7
athlete_053848	France	NA	2008	sport_8
athlete_053849	Soviet Union	NA	2009	sport_9
athlete_053850	France	NA	2010	sport_10
athlete_053851	United States	NA	2011	sport_11
athlete_053852	Japan	NA	2012	sport_12
athlete_053853	Germany	NA	2013	sport_13
athlete_053854	France	Bronze	2014	sport_14
athlete_053855	Japan	Gold	2015	sport_15
athlete_053856	Italy	NA	2016	sport_16
athlete_053857	United States	Gold	2017	sport_17
athlete_053858	Japan	NA	2018	sport_18
athlete_053859	Germany	Gold	2019	sport_19
athlete_053860	Japan	NA	2000	sport_20
athlete_053861	Japan	NA	2001	sport_21
athlete_053862	France	Gold	2002	sport_22
athlete_053863	United States	Gold	2003	sport_23
athlete_053864	United States	Bronze	2004	sport_24
athlete_053865	Soviet Union	Silver	2005	sport_25
athlete_053866	France	NA	2006	sport_26
athlete_053867	France	NA	2007	sport_27
athlete_053868	United States	NA	2008	sport_28
athlete_053869	Germany	NA	2009	sport_29
athlete_053870	Japan	NA	2010	sport_30
athlete_053871	United States	Silver	2011	sport_31
athlete_053872	France	NA	2012	sport_32
athlete_053873	United States	Silver	2013	sport_33
athlete_053874	France	NA	2014	sport_34
athlete_053875	Japan	NA	2015	sport_35
athlete_053876	France	Gold	2016	sport_36
athlete_053877	France	Gold	2017	sport_37
athlete_053878	Italy	Bronze	2018	sport_38
athlete_053879	United States	NA	2019	sport_39
athlete_053880	United States	Bronze	2000	sport_0
athlete_053881	Kenya	Bronze	2001	sport_1
athlete_053882	United States	NA	2002	sport_2
athlete_053883	France	Gold	2003	sport_3
athlete_053884	United States	NA	2004	sport_4
athlete_053885	Japan	Bronze	2005	sport_5
athlete_053886	United States	NA	2006	sport_6
athlete_053887	Kenya	Silver	2007	sport_7
athlete_053888	Japan	Bronze	2008	sport_8
athlete_053889	Japan	NA	2009	sport_9
athlete_053890	United States	NA	2010	sport_10
athlete_053891	United States	Gold	2011	sport_11
athlete_053892	United States	Silver	2012	sport_12
athlete_053893	Germany	Silver	2013	sport_13
athlete_053894	Soviet Union	Gold	2014	sport_14
athlete_053895	Soviet Union	Bronze	2015	sport_15
athlete_053896	United States	Bronze	2016	sport_16
athlete_053897	Italy	Bronze	2017	sport_17
athlete_053898	Italy	Bronze	2018	sport_18
athlete_053899	United States	Silver	2019	sport_19
athlete_053900	United States	NA	2000	sport_20
athlete_053901	France	Silver	2001	sport_21
athlete_053902	Italy	Gold	2002	sport_22
athlete_053903	Kenya	NA	2003	sport_23
athlete_053904	United States	NA	2004	sport_24
athlete_053905	Germany	Bronze	2005	sport_25
athlete_053906	Germany	Silver	2006	sport_26
athlete_053907	France	NA	2007	sport_27
athlete_053908	United States	Gold	2008	sport_28
athlete_053909	United States	Silver	2009	sport_29
athlete_053910	Germany	Bronze	2010	sport_30
athlete_053911	Germany	NA	2011	sport_31
athlete_053912	Italy	Silver	2012	sport_32
athlete_053913	Soviet Union	NA	2013	sport_33
athlete_053914	Soviet Union	Gold	2014	sport_34
athlete_053915	Japan	Bronze	2015	sport_35
athlete_053916	France	Bronze	2016	sport_36
athlete_053917	Germany	Gold	2017	sport_37
athlete_053918	United States	NA	2018	sport_38
athlete_053919	United States	Bronze	2019	sport_39
athlete_053920	Italy	NA	2000	sport_0
athlete_053921	Kenya	NA	2001	sport_1
athlete_053922	Italy	Silver	2002	sport_2
athlete_053923	United States	Gold	2003	sport_3
athlete_053924	France	Gold	2004	sport_4
athlete_053925	Italy	Silver	2005	sport_5
athlete_053926	Germany	Bronze	2006	sport_6
athlete_053927	United States	Gold	2007	sport_7
athlete_053928	France	Silver	2008	sport_8
athlete_053929	Germany	Bronze	2009	sport_9
athlete_053930	Italy	Gold	2010	sport_10
athlete_053931	Germany	Silver	2011	sport_11
athlete_053932	Germany	Silver	2012	sport_12
athlete_053933	Japan	Silver	2013	sport_13
athlete_053934	Soviet Union	NA	2014	sport_14
athlete_053935	Germany	NA	2015	sport_15
athlete_053936	Germany	NA	2016	sport_16
athlete_053937	Italy	NA	2017	sport_17
athlete_053938	France	NA	2018	sport_18
athlete_053939	United States	NA	2019	sport_19
athlete_053940	Japan	NA	2000	sport_20
athlete_053941	Germany	NA	2001	sport_21
athlete_053942	Italy	Silver	2002	sport_22
athlete_053943	Soviet Union	Silver	2003	sport_23
athlete_053944	Italy	NA	2004	sport_24
athlete_053945	United States	Bronze	2005	sport_25
athlete_053946	Germany	Bronze	2006	sport_26
athlete_053947	Japan	Silver	2007	sport_27
athlete_053948	Soviet Union	NA	2008	sport_28
athlete_053949	Italy	NA	2009	sport_29
athlete_053950	Soviet Union	NA	2010	sport_30
athlete_053951	United States	Bronze	2011	sport_31
athlete_053952	Japan	Silver	2012	sport_32
athlete_053953	United States	Bronze	2013	sport_33
athlete_053954	Japan	NA	2014	sport_34
athlete_053955	Soviet Union	Gold	2015	sport_35
athlete_053956	Germany	NA	2016	sport_36
athlete_053957	United States	Silver	2017	sport_37
athlete_053958	United States	Bronze	2018	sport_38
athlete_053959	United States	NA	2019	sport_39
athlete_053960	Soviet Union	NA	2000	sport_0
athlete_053961	Germany	Bronze	2001	sport_1
athlete_053962	Soviet Union	NA	2002	sport_2
athlete_053963	Soviet Union	NA	2003	sport_3
athlete_053964	Italy	NA	2004	sport_4
athlete_053965	France	NA	2005	sport_5
athlete_053966	Italy	Silver	2006	sport_6
athlete_053967	Soviet Union	Bronze	2007	sport_7
athlete_053968	Soviet Union	NA	2008	sport_8
athlete_053969	United States	Silver	2009	sport_9
athlete_053970	Japan	NA	2010	sport_10
athlete_053971	Germany	NA	2011	sport_11
athlete_053972	Italy	Gold	2012	sport_12
athlete_053973	Italy	Bronze	2013	sport_13
athlete_053974	Italy	NA	2014	sport_14
athlete_053975	Italy	NA	2015	sport_15
athlete_053976	United States	Silver	2016	sport_16
athlete_053977	Germany	NA	2017	sport_17
athlete_053978	United States	NA	2018	sport_18
athlete_053979	Italy	Gold	2019	sport_19
athlete_053980	Germany	NA	2000	sport_20
athlete_053981	Japan	NA	2001	sport_21
athlete_053982	Italy	Bronze	2002	sport_22
athlete_053983	Japan	Bronze	2003	sport_23
athlete_053984	Kenya	NA	2004	sport_24
athlete_053985	United States	NA	2005	sport_25
athlete_053986	Italy	Gold	2006	sport_26
athlete_053987	United States	Bronze	2007	sport_27
athlete_053988	Italy	NA	2008	sport_28
athlete_053989	Japan	NA	2009	sport_29
athlete_053990	France	NA	2010	sport_30
athlete_053991	France	NA	2011	sport_31
athlete_053992	Soviet Union	Gold	2012	sport_32
athlete_053993	United States	Gold	2013	sport_33
athlete_053994	Germany	Bronze	2014	sport_34
athlete_053995	France	Bronze	2015	sport_35
athlete_053996	Italy	Gold	2016	sport_36
athlete_053997	Japan	Bronze	2017	sport_37
athlete_053998	United States	NA	2018	sport_38
athlete_053999	France	NA	2019	sport_39
athlete_054000	Soviet Union	NA	2000	sport_0
athlete_054001	United States	Silver	2001	sport_1
athlete_054002	Germany	Gold	2002	sport_2
athlete_054003	Italy	NA	2003	sport_3
athlete_054004	France	NA	2004	sport_4
athlete_054005	United States	NA	2005	sport_5
athlete_054006	France	NA	2006	sport_6
athlete_054007	France	NA	2007	sport_7
athlete_054008	United States	Silver	2008	sport_8
athlete_054009	Germany	Silver	2009	sport_9
athlete_054010	United States	Gold	2010	sport_10
athlete_054011	United States	Gold	2011	sport_11
athlete_054012	France	NA	2012	sport_12
athlete_054013	Germany	Bronze	2013	sport_13
athlete_054014	United States	NA	2014	sport_14
athlete_054015	United States	Silver	2015	sport_15
athlete_054016	Japan	NA	2016	sport_16
athlete_054017	United States	Gold	2017	sport_17
athlete_054018	France	NA	2018	sport_18
athlete_054019	United States	NA	2019	sport_19
athlete_054020	Italy	NA	2000	sport_20
athlete_054021	Italy	Silver	2001	sport_21
athlete_054022	Germany	Silver	2002	sport_22
athlete_054023	Germany	Gold	2003	sport_23
athlete_054024	Germany	Gold	2004	sport_24
athlete_054025	United States	Bronze	2005	sport_25
athlete_054026	Kenya	NA	2006	sport_26
athlete_054027	Italy	Gold	2007	sport_27
athlete_054028	Japan	Silver	2008	sport_28
athlete_054029	Germany	NA	2009	sport_29
athlete_054030	United States	NA	2010	sport_30
athlete_054031	United States	NA	2011	sport_31
athlete_054032	Germany	Bronze	2012	sport_32
athlete_054033	Germany	Gold	2013	sport_33
athlete_054034	Germany	Silver	2014	sport_34
athlete_054035	United States	Silver	2015	sport_35
athlete_054036	Italy	Silver	2016	sport_36
athlete_054037	United States	NA	2017	sport_37
athlete_054038	Soviet Union	NA	2018	sport_38
athlete_054039	United States	Gold	2019	sport_39
athlete_054040	United States	NA	2000	sport_0
athlete_054041	Germany	Bronze	2001	sport_1
athlete_054042	United States	Silver	2002	sport_2
athlete_054043	Italy	NA	2003	sport_3
athlete_054044	Germany	NA	2004	sport_4
athlete_054045	Italy	Bronze	2005	sport_5
athlete_054046	Japan	Gold	2006	sport_6
athlete_054047	Germany	NA	2007	sport_7
athlete_054048	France	NA	2008	sport_8
athlete_054049	Germany	NA	2009	sport_9
athlete_054050	United States	NA	2010	sport_10
athlete_054051	France	Silver	2011	sport_11
athlete_054052	Soviet Union	Bronze	2012	sport_12
athlete_054053	Italy	Silver	2013	sport_13
athlete_054054	France	Gold	2014	sport_14
athlete_054055	France	Gold	2015	sport_15
athlete_054056	France	NA	2016	sport_16
athlete_054057	United States	Gold	2017	sport_17
athlete_054058	Japan	Bronze	2018	sport_18
athlete_054059	Germany	NA	2019	sport_19
athlete_054060	Germany	Gold	2000	sport_20
athlete_054061	United States	Bronze	2001	sport_21
athlete_054062	Germany	Silver	2002	sport_22
athlete_054063	United States	Gold	2003	sport_23
athlete_054064	Italy	NA	2004	sport_24
athlete_054065	France	NA	2005	sport_25
athlete_054066	Japan	NA	2006	sport_26
athlete_054067	Japan	Bronze	2007	sport_27
athlete_054068	Germany	NA	2008	sport_28
athlete_054069	Japan	NA	2009	sport_29
athlete_054070	United States	NA	2010	sport_30
athlete_054071	Germany	Bronze	2011	sport_31
athlete_054072	United States	Gold	2012	sport_32
athlete_054073	United States	NA	2013	sport_33
athlete_054074	France	NA	2014	sport_34
athlete_054075	Japan	NA	2015	sport_35
athlete_054076	Italy	Gold	2016	sport_36
athlete_054077	Japan	Gold	2017	sport_37
athlete_054078	Japan	NA	2018	sport_38
athlete_054079	Japan	Silver	2019	sport_39
athlete_054080	Germany	NA	2000	sport_0
athlete_054081	Japan	NA	2001	sport_1
athlete_054082	Japan	Gold	2002	sport_2
athlete_054083	France	NA	2003	sport_3
athlete_054084	United States	Silver	2004	sport_4
athlete_054085	United States	Bronze	2005	sport_5
athlete_054086	United States	Gold	2006	sport_6
athlete_054087	Kenya	Silver	2007	sport_7
athlete_054088	Japan	NA	2008	sport_8
athlete_054089	Japan	Silver	2009	sport_9
athlete_054090	United States	NA	2010	sport_10
athlete_054091	United States	NA	2011	sport_11
athlete_054092	United States	Gold	2012	sport_12
athlete_054093	Kenya	NA	2013	sport_13
athlete_054094	United States	Silver	2014	sport_14
athlete_054095	France	Silver	2015	sport_15
athlete_054096	Japan	NA	2016	sport_16
athlete_054097	Soviet Union	Gold	2017	sport_17
athlete_054098	Kenya	Gold	2018	sport_18
athlete_054099	Italy	NA	2019	sport_19
athlete_054100	Japan	NA	2000	sport_20
athlete_054101	Japan	Gold	2001	sport_21
athlete_054102	Soviet Union	Gold	2002	sport_22
athlete_054103	Germany	NA	2003	sport_23
athlete_054104	United States	Silver	2004	sport_24
athlete_054105	Kenya	NA	2005	sport_25
athlete_054106	Italy	NA	2006	sport_26
athlete_054107	Italy	Bronze	2007	sport_27
athlete_054108	Soviet Union	NA	2008	sport_28
athlete_054109	Germany	Silver	2009	sport_29
athlete_054110	United States	Silver	2010	sport_30
athlete_054111	United States	NA	2011	sport_31
athlete_054112	Japan	Silver	2012	sport_32
athlete_054113	France	NA	2013	sport_33
athlete_054114	Kenya	NA	2014	sport_34
athlete_054115	United States	Bronze	2015	sport_35
athlete_054116	United States	Gold	2016	sport_36
athlete_054117	United States	Bronze	2017	sport_37
athlete_054118	United States	NA	2018	sport_38
athlete_054119	Italy	NA	2019	sport_39
athlete_054120	United States	Bronze	2000	sport_0
athlete_054121	Italy	Silver	2001	sport_1
athlete_054122	United States	Bronze	2002	sport_2
athlete_054123	Japan	NA	2003	sport_3
athlete_054124	United States	NA	2004	sport_4
athlete_054125	France	NA	2005	sport_5
athlete_054126	United States	Gold	2006	sport_6
athlete_054127	France	Gold	2007	sport_7
athlete_054128	Italy	NA	2008	sport_8
athlete_054129	Germany	NA	2009	sport_9
athlete_054130	Germany	NA	2010	sport_10
athlete_054131	Italy	NA	2011	sport_11
athlete_054132	United States	Bronze	2012	sport_12
athlete_054133	Germany	NA	2013	sport_13
athlete_054134	France	Bronze	2014	sport_14
athlete_054135	Italy	Gold	2015	sport_15
athlete_054136	Soviet Union	Silver	2016	sport_16
athlete_054137	United States	NA	2017	sport_17
athlete_054138	Japan	NA	2018	sport_18
athlete_054139	United States	NA	2019	sport_19
athlete_054140	France	Gold	2000	sport_20
athlete_054141	United States	NA	2001	sport_21
athlete_054142	France	Gold	2002	sport_22
athlete_054143	Kenya	Gold	2003	sport_23
athlete_054144	United States	NA	2004	sport_24
athlete_054145	Italy	NA	2005	sport_25
athlete_054146	Kenya	NA	2006	sport_26
athlete_054147	Germany	NA	2007	sport_27
athlete_054148	United States	Gold	2008	sport_28
athlete_054149	Soviet Union	Bronze	2009	sport_29
athlete_054150	Japan	Gold	2010	sport_30
athlete_054151	United States	NA	2011	sport_31
athlete_054152	France	NA	2012	sport_32
athlete_054153	United States	NA	2013	sport_33
athlete_054154	Italy	Bronze	2014	sport_34
athlete_054155	United States	Gold	2015	sport_35
athlete_054156	France	Gold	2016	sport_36
athlete_054157	Germany	NA	2017	sport_37
athlete_054158	Soviet Union	NA	2018	sport_38
athlete_054159	France	Silver	2019	sport_39
athlete_054160	Soviet Union	NA	2000	sport_0
athlete_054161	Kenya	NA	2001	sport_1
athlete_054162	United States	NA	2002	sport_2
athlete_054163	France	Bronze	2003	sport_3
athlete_054164	United States	Gold	2004	sport_4
athlete_054165	Italy	Silver	2005	sport_5
athlete_054166	United States	NA	2006	sport_6
athlete_054167	United States	Bronze	2007	sport_7
athlete_054168	Soviet Union	Bronze	2008	sport_8
athlete_054169	United States	NA	2009	sport_9
athlete_054170	France	Gold	2010	sport_10
athlete_054171	Japan	NA	2011	sport_11
athlete_054172	Soviet Union	NA	2012	sport_12
athlete_054173	Japan	NA	2013	sport_13
athlete_054174	Germany	Gold	2014	sport_14
athlete_054175	Japan	NA	2015	sport_15
athlete_054176	United States	NA	2016	sport_16
athlete_054177	Italy	Bronze	2017	sport_17
athlete_054178	Germany	NA	2018	sport_18
athlete_054179	United States	NA	2019	sport_19
athlete_054180	Soviet Union	Silver	2000	sport_20
athlete_054181	Germany	NA	2001	sport_21
athlete_054182	Soviet Union	Silver	2002	sport_22
athlete_054183	United States	NA	2003	sport_23
athlete_054184	France	Silver	2004	sport_24
athlete_054185	Japan	NA	2005	sport_25
athlete_054186	United States	NA	2006	sport_26
athlete_054187	Italy	NA	2007	sport_27
athlete_054188	Soviet Union	Gold	2008	sport_28
athlete_054189	Japan	NA	2009	sport_29
athlete_054190	Soviet Union	NA	2010	sport_30
athlete_054191	Japan	NA	2011	sport_31
athlete_054192	United States	Bronze	2012	sport_32
athlete_054193	United States	NA	2013	sport_33
athlete_054194	Kenya	NA	2014	sport_34
athlete_054195	France	Silver	2015	sport_35
athlete_054196	Germany	Bronze	2016	sport_36
athlete_054197	United States	Silver	2017	sport_37
athlete_054198	Germany	NA	2018	sport_38
athlete_054199	United States	NA	2019	sport_39
athlete_054200	Italy	NA	2000	sport_0
athlete_054201	Germany	Silver	2001	sport_1
athlete_054202	Soviet Union	Bronze	2002	sport_2
athlete_054203	Italy	NA	2003	sport_3
athlete_054204	United States	Bronze	2004	sport_4
athlete_054205	Germany	Silver	2005	sport_5
athlete_054206	Soviet Union	Bronze	2006	sport_6
athlete_054207	Japan	Silver	2007	sport_7
athlete_054208	Kenya	Gold	2008	sport_8
athlete_054209	Italy	Gold	2009	sport_9
athlete_054210	United States	NA	2010	sport_10
athlete_054211	United States	Silver	2011	sport_11
athlete_054212	France	Gold	2012	sport_12
athlete_054213	United States	Silver	2013	sport_13
athlete_054214	Italy	NA	2014	sport_14
athlete_054215	United States	NA	2015	sport_15
athlete_054216	United States	NA	2016	sport_16
athlete_054217	United States	Gold	2017	sport_17
athlete_054218	United States	Gold	2018	sport_18
athlete_054219	United States	Silver	2019	sport_19
athlete_054220	United States	Bronze	2000	sport_20
athlete_054221	Italy	Bronze	2001	sport_21
athlete_054222	Germany	NA	2002	sport_22
athlete_054223	United States	Gold	2003	sport_23
athlete_054224	Italy	Silver	2004	sport_24
athlete_054225	Germany	NA	2005	sport_25
athlete_054226	Germany	NA	2006	sport_26
athlete_054227	Japan	Gold	2007	sport_27
athlete_054228	United States	NA	2008	sport_28
athlete_054229	Japan	NA	2009	sport_29
athlete_054230	United States	Bronze	2010	sport_30
athlete_054231	United States	NA	2011	sport_31
athlete_054232	United States	NA	2012	sport_32
athlete_054233	United States	NA	2013	sport_33
athlete_054234	Italy	Gold	2014	sport_34
athlete_054235	Germany	NA	2015	sport_35
athlete_054236	France	NA	2016	sport_36
athlete_054237	United States	Bronze	2017	sport_37
athlete_054238	Japan	NA	2018	sport_38
athlete_054239	Kenya	NA	2019	sport_39
athlete_054240	Japan	NA	2000	sport_0
athlete_054241	France	NA	2001	sport_1
athlete_054242	Kenya	Bronze	2002	sport_2
athlete_054243	Soviet Union	NA	2003	sport_3
athlete_054244	Japan	Gold	2004	sport_4
athlete_054245	Germany	Gold	2005	sport_5
athlete_054246	United States	Silver	2006	sport_6
athlete_054247	Kenya	Silver	2007	sport_7
athlete_054248	Italy	Silver	2008	sport_8
athlete_054249	United States	NA	2009	sport_9
athlete_054250	Japan	NA	2010	sport_10
athlete_054251	Germany	Gold	2011	sport_11
athlete_054252	United States	Bronze	2012	sport_12
athlete_054253	Italy	NA	2013	sport_13
athlete_054254	Italy	Gold	2014	sport_14
athlete_054255	Soviet Union	Gold	2015	sport_15
athlete_054256	France	NA	2016	sport_16
athlete_054257	Kenya	NA	2017	sport_17
athlete_054258	United States	Silver	2018	sport_18
athlete_054259	United States	Silver	2019	sport_19
athlete_054260	Germany	NA	2000	sport_20
athlete_054261	Japan	Silver	2001	sport_21
athlete_054262	United States	Bronze	2002	sport_22
athlete_054263	Kenya	NA	2003	sport_23
athlete_054264	United States	NA	2004	sport_24
athlete_054265	United States	NA	2005	sport_25
athlete_054266	Japan	Silver	2006	sport_26
athlete_054267	Japan	Silver	2007	sport_27
athlete_054268	United States	NA	2008	sport_28
athlete_054269	Italy	Bronze	2009	sport_29
athlete_054270	France	NA	2010	sport_30
athlete_054271	United States	NA	2011	sport_31
athlete_054272	United States	Silver	2012	sport_32
athlete_054273	Japan	NA	2013	sport_33
athlete_054274	France	Bronze	2014	sport_34
athlete_054275	Kenya	Silver	2015	sport_35
athlete_054276	United States	NA	2016	sport_36
athlete_054277	France	NA	2017	sport_37
athlete_054278	Germany	NA	2018	sport_38
athlete_054279	France	NA	2019	sport_39
athlete_054280	Kenya	NA	2000	sport_0
athlete_054281	Italy	Silver	2001	sport_1
athlete_054282	Italy	NA	2002	sport_2
athlete_054283	United States	NA	2003	sport_3
athlete_054284	France	Bronze	2004	sport_4
athlete_054285	Japan	Gold	2005	sport_5
athlete_054286	France	Gold	2006	sport_6
athlete_054287	Kenya	NA	2007	sport_7
athlete_054288	Kenya	Gold	2008	sport_8
athlete_054289	United States	NA	2009	sport_9
athlete_054290	United States	Gold	2010	sport_10
athlete_054291	Soviet Union	Gold	2011	sport_11
athlete_054292	Italy	NA	2012	sport_12
athlete_054293	Soviet Union	NA	2013	sport_13
athlete_054294	Germany	Silver	2014	sport_14
athlete_054295	Italy	NA	2015	sport_15
athlete_054296	United States	Silver	2016	sport_16
athlete_054297	United States	NA	2017	sport_17
athlete_054298	Soviet Union	Bronze	2018	sport_18
athlete_054299	United States	NA	2019	sport_19
athlete_054300	Kenya	Silver	2000	sport_20
athlete_054301	United States	Bronze	2001	sport_21
athlete_054302	Japan	NA	2002	sport_22
athlete_054303	France	NA	2003	sport_23
athlete_054304	United States	NA	2004	sport_24
athlete_054305	Germany	NA	2005	sport_25
athlete_054306	Germany	NA	2006	sport_26
athlete_054307	Italy	Gold	2007	sport_27
athlete_054308	Kenya	NA	2008	sport_28
athlete_054309	Germany	NA	2009	sport_29
athlete_054310	United States	Silver	2010	sport_30
athlete_054311	United States	NA	2011	sport_31
athlete_054312	United States	NA	2012	sport_32
athlete_054313	Soviet Union	NA	2013	sport_33
athlete_054314	United States	NA	2014	sport_34
athlete_054315	Italy	NA	2015	sport_35
athlete_054316	France	Bronze	2016	sport_36
athlete_054317	Soviet Union	Bronze	2017	sport_37
athlete_054318	Kenya	NA	2018	sport_38
athlete_054319	Kenya	NA	2019	sport_39
athlete_054320	France	NA	2000	sport_0
athlete_054321	Soviet Union	Silver	2001	sport_1
athlete_054322	United States	NA	2002	sport_2
athlete_054323	United States	Gold	2003	sport_3
athlete_054324	Kenya	Gold	2004	sport_4
athlete_054325	Germany	NA	2005	sport_5
athlete_054326	Germany	NA	2006	sport_6
athlete_054327	United States	Silver	2007	sport_7
athlete_054328	United States	Silver	2008	sport_8
athlete_054329	United States	NA	2009	sport_9
athlete_054330	United States	Bronze	2010	sport_10
athlete_054331	United States	NA	2011	sport_11
athlete_054332	United States	NA	2012	sport_12
athlete_054333	Soviet Union	Silver	2013	sport_13
athlete_054334	Germany	Gold	2014	sport_14
athlete_054335	Soviet Union	Silver	2015	sport_15
athlete_054336	Germany	NA	2016	sport_16
athlete_054337	United States	Bronze	2017	sport_17
athlete_054338	Germany	Silver	2018	sport_18
athlete_054339	Italy	Silver	2019	sport_19
athlete_054340	France	NA	2000	sport_20
athlete_054341	Italy	NA	2001	sport_21
athlete_054342	Japan	NA	2002	sport_22
athlete_054343	Germany	NA	2003	sport_23
athlete_054344	Germany	Silver	2004	sport_24
athlete_054345	United States	Bronze	2005	sport_25
athlete_054346	Soviet Union	NA	2006	sport_26
athlete_054347	Japan	Silver	2007	sport_27
athlete_054348	Kenya	NA	2008	sport_28
athlete_054349	Kenya	Gold	2009	sport_29
